Max Iterations,Feature Set,Learning Rate,Type Set,MATCHES,MISMATCHES,TRUE POSITIVES,TRUE NEGATIVES,PREDICTED POSITIVES,PREDICTED NEGATIVES,ACTUAL POSITIVES,ACTUAL NEGATIVES,ACCURACY,PRECISION (POS),RECALL (POS),AVERAGE (POS),F-SCORE (POS),PRECISION (NEG),RECALL (NEG),AVERAGE (NEG),F-SCORE (NEG),PRECISION,RECALL,AVERAGE,F-SCORE
1000,4-GRAMS,1,Test,1318,1307,1287,31,2561,64,1333,1292,0.023165814673482613,0.5025380710659898,0.9654913728432108,0.7340147219546003,0.6610169491525424,0.484375,0.023993808049535603,0.25418440402476783,0.04572271386430678,0.5020952380952381,0.5020952380952381,0.5020952380952381,0.5020952380952381
10,4-GRAMS,0.75,Training,5346,2500,3911,1435,6395,1451,3998,3848,0.3648059086715915,0.6115715402658327,0.9782391195597799,0.7949053299128064,0.7526219570865005,0.988973121984838,0.3729209979209979,0.6809470599529179,0.5416116248348746,0.6813663013000255,0.6813663013000255,0.6813663013000255,0.6813663013000255
10,4-GRAMS,0.75,Test,1313,1312,1280,33,2552,73,1333,1292,0.024526255402860003,0.5015673981191222,0.9602400600150037,0.730903729067063,0.6589446589446588,0.4520547945205479,0.025541795665634675,0.2387982950930913,0.04835164835164835,0.5001904761904762,0.5001904761904762,0.5001904761904762,0.5001904761904762
100,4-GRAMS,0.75,Training,7132,714,3213,3919,3213,4633,3998,3848,0.8184801210376498,1.0,0.8036518259129565,0.9018259129564783,0.8911385383441963,0.8458881933952083,1.0184511434511434,0.9321696684231758,0.9241834689305507,0.9089982156512872,0.9089982156512872,0.9089982156512872,0.9089982156512872
100,4-GRAMS,0.75,Test,1328,1297,52,1276,81,2544,1333,1292,0.03852665952865925,0.6419753086419753,0.03900975243810953,0.3404925305400424,0.07355021216407355,0.5015723270440252,0.9876160990712074,0.7445942130576163,0.6652763295099061,0.5059047619047619,0.5059047619047619,0.5059047619047619,0.5059047619047619
1000,4-GRAMS,0.75,Training,7694,152,3927,3767,4079,3767,3998,3848,0.9615650470765528,0.9627359646972297,0.9822411205602801,0.9724885426287548,0.9723907391358177,1.0,0.978950103950104,0.9894750519750519,0.9893630991464216,0.9806270711190416,0.9806270711190416,0.9806270711190416,0.9806270711190416
1000,4-GRAMS,0.75,Test,1319,1306,1287,32,2560,65,1333,1292,0.023913099017788507,0.502734375,0.9654913728432108,0.7341128739216054,0.6611867454405342,0.49230769230769234,0.02476780185758514,0.2585377470826387,0.04716285924834193,0.5024761904761905,0.5024761904761905,0.5024761904761905,0.5024761904761905
10,4-GRAMS,0.5,Training,4593,3253,3902,691,7130,716,3998,3848,0.17526187730039655,0.54726507713885,0.9759879939969985,0.7616265355679243,0.701294033069734,0.9650837988826816,0.17957380457380456,0.5723288017282431,0.3028045574057844,0.5853938312515932,0.5853938312515932,0.5853938312515932,0.5853938312515932
10,4-GRAMS,0.5,Test,1319,1306,1290,29,2566,59,1333,1292,0.021721761709777288,0.5027279812938426,0.967741935483871,0.7352349583888568,0.6617081302898179,0.4915254237288136,0.02244582043343653,0.2569856220811251,0.04293116210214655,0.5024761904761905,0.5024761904761905,0.5024761904761905,0.5024761904761905
100,4-GRAMS,0.5,Training,6982,864,3063,3919,3063,4783,3998,3848,0.7802690976465363,1.0,0.7661330665332666,0.8830665332666333,0.8675824953972525,0.8193602341626595,1.0184511434511434,0.9189056888069014,0.9081218862240761,0.8898801937292888,0.8898801937292888,0.8898801937292888,0.8898801937292888
100,4-GRAMS,0.5,Test,1327,1298,52,1275,82,2543,1333,1292,0.03849646622181861,0.6341463414634146,0.03900975243810953,0.3365780469507621,0.0734982332155477,0.5013763271726307,0.9868421052631579,0.7441092162178943,0.664928292046936,0.5055238095238095,0.5055238095238095,0.5055238095238095,0.5055238095238095
1000,4-GRAMS,0.5,Training,7645,201,3726,3919,3726,4120,3998,3848,0.9491618210352578,1.0,0.9319659829914958,0.9659829914957478,0.9647850854479545,0.9512135922330097,1.0184511434511434,0.9848323678420765,0.9836847389558233,0.9743818506245221,0.9743818506245221,0.9743818506245221,0.9743818506245221
1000,4-GRAMS,0.5,Test,1330,1295,58,1272,91,2534,1333,1292,0.04283733472067708,0.6373626373626373,0.04351087771942986,0.3404367575410336,0.08146067415730338,0.5019731649565904,0.9845201238390093,0.7432466443977999,0.6649242028227915,0.5066666666666667,0.5066666666666667,0.5066666666666667,0.5066666666666667
10,4-GRAMS,0.25,Training,4059,3787,157,3902,174,7672,3998,3848,0.039820715971291255,0.9022988505747126,0.0392696348174087,0.4707842426960607,0.07526366251198466,0.5086027111574557,1.014033264033264,0.76131798759536,0.6774305555555556,0.5173336732092786,0.5173336732092786,0.5173336732092786,0.5173336732092786
10,4-GRAMS,0.25,Test,1311,1314,20,1291,34,2591,1333,1292,0.01499213812741111,0.5882352941176471,0.015003750937734433,0.30161952252769075,0.029261155815654718,0.49826321883442687,0.9992260061919505,0.7487446125131887,0.6649497810970898,0.49942857142857144,0.49942857142857144,0.49942857142857144,0.49942857142857144
100,4-GRAMS,0.25,Training,6640,1206,2721,3919,2721,5125,3998,3848,0.6931479643147976,1.0,0.6805902951475737,0.8402951475737869,0.8099419556481618,0.7646829268292683,1.0184511434511434,0.8915670351402059,0.8735094171403098,0.8462911037471323,0.8462911037471323,0.8462911037471323,0.8462911037471323
100,4-GRAMS,0.25,Test,1322,1303,53,1269,89,2536,1333,1292,0.03905213919578966,0.5955056179775281,0.03975993998499625,0.3176327789812622,0.07454289732770746,0.5003943217665615,0.9821981424148607,0.741296232090711,0.6630094043887148,0.5036190476190476,0.5036190476190476,0.5036190476190476,0.5036190476190476
1000,4-GRAMS,0.25,Training,7564,282,3927,3637,4209,3637,3998,3848,0.9283812254360029,0.9330007127583749,0.9822411205602801,0.9576209166593275,0.9569879371268429,1.0,0.9451663201663202,0.97258316008316,0.971810287241149,0.9640581187866428,0.9640581187866428,0.9640581187866428,0.9640581187866428
1000,4-GRAMS,0.25,Test,1320,1305,1282,38,2549,76,1333,1292,0.02828648338555227,0.5029423303256179,0.9617404351087772,0.7323413827171975,0.6604842864502833,0.5,0.029411764705882353,0.2647058823529412,0.05555555555555555,0.5028571428571429,0.5028571428571429,0.5028571428571429,0.5028571428571429
