Max Iterations,Feature Set,Learning Rate,Type Set,MATCHES,MISMATCHES,TRUE POSITIVES,TRUE NEGATIVES,PREDICTED POSITIVES,PREDICTED NEGATIVES,ACTUAL POSITIVES,ACTUAL NEGATIVES,ACCURACY,PRECISION (POS),RECALL (POS),AVERAGE (POS),F-SCORE (POS),PRECISION (NEG),RECALL (NEG),AVERAGE (NEG),F-SCORE (NEG),PRECISION,RECALL,AVERAGE,F-SCORE
10,5-GRAMS,1,Training,5386,2272,1569,3817,1569,6089,3998,3660,0.40928066492262527,1.0,0.3924462231115558,0.6962231115557779,0.5636788216274475,0.6268681228444737,1.042896174863388,0.8348821488539309,0.7830546722740794,0.7033167928963175,0.7033167928963175,0.7033167928963175,0.7033167928963175
10,5-GRAMS,1,Test,1271,1286,5,1266,10,2547,1333,1224,0.0038796463821837816,0.5,0.0037509377344336083,0.2518754688672168,0.007446016381236039,0.49705535924617195,1.0343137254901962,0.7656845423681841,0.6714399363564042,0.49706687524442705,0.49706687524442705,0.49706687524442705,0.49706687524442705
100,5-GRAMS,1,Training,7142,516,3325,3817,3325,4333,3998,3660,0.8673411159131479,1.0,0.8316658329164582,0.9158329164582291,0.908097774136283,0.880913916455112,1.042896174863388,0.96190504565925,0.9550856999874892,0.9326194828937059,0.9326194828937059,0.9326194828937059,0.9326194828937059
100,5-GRAMS,1,Test,1277,1280,10,1267,14,2543,1333,1224,0.007765421747593762,0.7142857142857143,0.007501875468867217,0.3608937948772908,0.014847809948032665,0.4982304364923319,1.0351307189542485,0.7666805777232901,0.6726838332890895,0.4994133750488854,0.4994133750488854,0.4994133750488854,0.4994133750488854
1000,5-GRAMS,1,Training,7576,82,3841,3735,3923,3735,3998,3660,0.9804174628297755,0.9790976293652817,0.9607303651825913,0.9699139972739365,0.9698270420401465,1.0,1.0204918032786885,1.0102459016393444,1.0101419878296145,0.989292243405589,0.989292243405589,0.989292243405589,0.989292243405589
1000,5-GRAMS,1,Test,1289,1268,1283,6,2548,9,1333,1224,0.004718091287527764,0.5035321821036107,0.9624906226556639,0.7330114023796372,0.6611698015975265,0.6666666666666666,0.004901960784313725,0.33578431372549017,0.009732360097323601,0.5041063746578021,0.5041063746578021,0.5041063746578021,0.5041063746578021
10,5-GRAMS,0.75,Training,5076,2582,3830,1246,6401,1257,3998,3660,0.3261316450575014,0.598344008748633,0.9579789894947474,0.7781614991216902,0.7366092893547456,0.9912490055688147,0.3404371584699454,0.66584308201938,0.5068130974171243,0.662836249673544,0.662836249673544,0.662836249673544,0.662836249673544
10,5-GRAMS,0.75,Test,1278,1279,1277,1,2547,10,1333,1224,0.0007826711579855748,0.5013741656851197,0.9579894973743436,0.7296818315297317,0.6582474226804124,0.1,0.0008169934640522876,0.050408496732026145,0.001620745542949757,0.49980445834962844,0.49980445834962844,0.49980445834962844,0.49980445834962844
100,5-GRAMS,0.75,Training,7050,608,3233,3817,3233,4425,3998,3660,0.8433425045856262,1.0,0.8086543271635818,0.9043271635817909,0.894205504079657,0.8625988700564972,1.042896174863388,0.9527475224599427,0.9442176870748299,0.9206059023243667,0.9206059023243667,0.9206059023243667,0.9206059023243667
100,5-GRAMS,0.75,Test,1275,1282,8,1267,12,2545,1333,1224,0.00621233739807501,0.6666666666666666,0.006001500375093774,0.3363340835208802,0.011895910780669145,0.49783889980353635,1.0351307189542485,0.7664848093788924,0.6723268771557442,0.4986312084473993,0.4986312084473993,0.4986312084473993,0.4986312084473993
1000,5-GRAMS,0.75,Training,7557,101,3841,3716,3942,3716,3998,3660,0.9754300647591556,0.9743784880771182,0.9607303651825913,0.9675544266298548,0.9675062972292191,1.0,1.0153005464480875,1.0076502732240438,1.007592190889371,0.9868111778532254,0.9868111778532254,0.9868111778532254,0.9868111778532254
1000,5-GRAMS,0.75,Test,1290,1267,1284,6,2549,8,1333,1224,0.004721768677463483,0.5037269517457826,0.9632408102025506,0.7334838809741666,0.6615146831530139,0.75,0.004901960784313725,0.37745098039215685,0.00974025974025974,0.5044974579585452,0.5044974579585452,0.5044974579585452,0.5044974579585452
10,5-GRAMS,0.5,Training,4104,3554,314,3790,341,7317,3998,3660,0.08132891582403222,0.9208211143695014,0.0785392696348174,0.4996801920021594,0.1447338096335561,0.5179718463851305,1.03551912568306,0.7767454860340952,0.6905347544866539,0.535910159310525,0.535910159310525,0.535910159310525,0.535910159310525
10,5-GRAMS,0.5,Test,1270,1287,1,1269,3,2554,1333,1224,0.000777767971404616,0.3333333333333333,0.0007501875468867217,0.16704176044011002,0.001497005988023952,0.49686765857478465,1.036764705882353,0.7668161822285688,0.6717840127051351,0.496675791943684,0.496675791943684,0.496675791943684,0.496675791943684
100,5-GRAMS,0.5,Training,6924,734,3841,3083,4575,3083,3998,3660,0.8092709606169205,0.8395628415300547,0.9607303651825913,0.900146603356323,0.8960690540067653,1.0,0.8423497267759563,0.9211748633879782,0.9144297790301054,0.9041525202402716,0.9041525202402716,0.9041525202402716,0.9041525202402716
100,5-GRAMS,0.5,Test,1289,1268,1284,5,2550,7,1333,1224,0.00393480723121957,0.5035294117647059,0.9632408102025506,0.7333851109836282,0.6613443214009787,0.7142857142857143,0.004084967320261438,0.35918534080298786,0.008123476848090984,0.5041063746578021,0.5041063746578021,0.5041063746578021,0.5041063746578021
1000,5-GRAMS,0.5,Training,7509,149,3692,3817,3692,3966,3998,3660,0.9630747067522832,1.0,0.9234617308654327,0.9617308654327164,0.9602080624187256,0.9624306606152294,1.042896174863388,1.0026634177393088,1.001049042748492,0.9805432227735701,0.9805432227735701,0.9805432227735701,0.9805432227735701
1000,5-GRAMS,0.5,Test,1276,1281,9,1267,13,2544,1333,1224,0.006988879572834385,0.6923076923076923,0.006751687921980495,0.34952969011483637,0.01337295690936107,0.49803459119496857,1.0351307189542485,0.7665826550746085,0.6725053078556265,0.49902229174814233,0.49902229174814233,0.49902229174814233,0.49902229174814233
10,5-GRAMS,0.25,Training,3868,3790,3838,30,7625,33,3998,3660,0.007868688442581947,0.503344262295082,0.9599799899949975,0.7316621261450398,0.6604146950012905,0.9090909090909091,0.00819672131147541,0.45864381520119224,0.016246953696181968,0.5050927135022198,0.5050927135022198,0.5050927135022198,0.5050927135022198
10,5-GRAMS,0.25,Test,1286,1271,1286,0,2557,0,1333,1224,0.0,0.502933124755573,0.9647411852963241,0.7338371550259486,0.6611825192802055,0,0.0,0.0,0,0.502933124755573,0.502933124755573,0.502933124755573,0.502933124755573
100,5-GRAMS,0.25,Training,6543,1115,3841,2702,4956,2702,3998,3660,0.7092605045692245,0.7750201775625505,0.9607303651825913,0.8678752713725708,0.8579405852133125,1.0,0.7382513661202186,0.8691256830601093,0.849418421879912,0.854400626795508,0.854400626795508,0.854400626795508,0.854400626795508
