
1000,BIGRAMS,1,Training,7953,40,3996,3957,4035,3958,3998,3995,0.9899926183367028,0.9903345724907063,0.9994997498749375,0.9949171611828219,0.9948960537781651,0.9997473471450228,0.9904881101376721,0.9951177286413475,0.9950961901169371,0.9949956211685225,0.9949956211685225,0.9949956211685225,0.9949956211685225
1000,BIGRAMS,1,Test,1671,994,978,693,1617,1048,1333,1332,0.38171367166115855,0.6048237476808905,0.7336834208552138,0.6692535842680521,0.6630508474576271,0.6612595419847328,0.5202702702702703,0.5907649061275015,0.5823529411764706,0.6270168855534709,0.6270168855534709,0.6270168855534709,0.6270168855534709
Max Iterations,Feature Set,Learning Rate,Type Set,MATCHES,MISMATCHES,TRUE POSITIVES,TRUE NEGATIVES,PREDICTED POSITIVES,PREDICTED NEGATIVES,ACTUAL POSITIVES,ACTUAL NEGATIVES,ACCURACY,PRECISION (POS),RECALL (POS),AVERAGE (POS),F-SCORE (POS),PRECISION (NEG),RECALL (NEG),AVERAGE (NEG),F-SCORE (NEG),PRECISION,RECALL,AVERAGE,F-SCORE
10,BIGRAMS,0.75,Training,4622,3371,3958,664,7290,703,3998,3995,0.16454485064810254,0.5429355281207133,0.9899949974987494,0.7664652628097314,0.7012756909992913,0.9445234708392604,0.16620775969962454,0.5553656152694424,0.282673478075777,0.57825597397723,0.57825597397723,0.57825597397723,0.57825597397723
10,BIGRAMS,0.75,Test,1449,1216,1012,437,1907,758,1333,1332,0.2490735296436722,0.5306764551651809,0.7591897974493623,0.6449331263072716,0.6246913580246913,0.5765171503957783,0.3280780780780781,0.4522976142369282,0.4181818181818182,0.5437148217636022,0.5437148217636022,0.5437148217636022,0.5437148217636022
Max Iterations,Feature Set,Learning Rate,Type Set,MATCHES,MISMATCHES,TRUE POSITIVES,TRUE NEGATIVES,PREDICTED POSITIVES,PREDICTED NEGATIVES,ACTUAL POSITIVES,ACTUAL NEGATIVES,ACCURACY,PRECISION (POS),RECALL (POS),AVERAGE (POS),F-SCORE (POS),PRECISION (NEG),RECALL (NEG),AVERAGE (NEG),F-SCORE (NEG),PRECISION,RECALL,AVERAGE,F-SCORE
100,BIGRAMS,0.75,Training,7622,371,3997,3625,4368,3625,3998,3995,0.9071572707505192,0.9150641025641025,0.9997498749374687,0.9574069887507857,0.9555343055223523,1.0,0.9073842302878599,0.9536921151439299,0.9514435695538058,0.9535843863380458,0.9535843863380458,0.9535843863380458,0.9535843863380458
100,BIGRAMS,0.75,Test,1632,1033,777,855,1254,1411,1333,1332,0.3741560390097525,0.6196172248803827,0.5828957239309828,0.6012564744056828,0.6006957866254349,0.6059532246633593,0.6418918918918919,0.6239225582776255,0.6234050309879694,0.6123827392120075,0.6123827392120075,0.6123827392120075,0.6123827392120075
Max Iterations,Feature Set,Learning Rate,Type Set,MATCHES,MISMATCHES,TRUE POSITIVES,TRUE NEGATIVES,PREDICTED POSITIVES,PREDICTED NEGATIVES,ACTUAL POSITIVES,ACTUAL NEGATIVES,ACCURACY,PRECISION (POS),RECALL (POS),AVERAGE (POS),F-SCORE (POS),PRECISION (NEG),RECALL (NEG),AVERAGE (NEG),F-SCORE (NEG),PRECISION,RECALL,AVERAGE,F-SCORE
1000,BIGRAMS,0.75,Training,7958,35,3997,3961,4032,3961,3998,3995,0.9912413653635328,0.9913194444444444,0.9997498749374687,0.9955346596909566,0.9955168119551682,1.0,0.9914893617021276,0.9957446808510638,0.9957264957264957,0.9956211685224572,0.9956211685224572,0.9956211685224572,0.9956211685224572
1000,BIGRAMS,0.75,Test,1664,1001,889,775,1446,1219,1333,1332,0.38803338221942874,0.6147994467496543,0.6669167291822956,0.6408580879659749,0.6397984886649875,0.6357670221493027,0.5818318318318318,0.6087994269905672,0.6076048608388868,0.624390243902439,0.624390243902439,0.624390243902439,0.624390243902439
