
Training
(1, 1, 0.998828970703404)
(1, 1, 0.8147854769675951)
(1, 1, 0.9914120954610576)
(1, 1, 0.9939713718170703)
(1, 1, 0.9979643274409045)
(1, 1, 0.9999999102184346)
(1, 1, 0.9999996324129504)
(1, 1, 0.9997349124049256)
(1, 1, 0.9879827198474175)
(1, 1, 0.9999999997744999)
(1, 1, 0.9995120693601828)
(1, 1, 0.996490674209646)
(1, 1, 0.9999837074515885)
(1, 1, 0.9996324896389414)
(1, 1, 0.9921919051130749)
(1, 1, 0.9999999672685371)
(1, 1, 0.9908015224239073)
(1, 1, 0.999988664164189)
(1, 1, 0.9982868240995425)
(1, 1, 0.9999999709478589)
(1, 1, 0.9986629338245829)
(1, 1, 0.9999924193832804)
(1, 1, 0.9999443902408487)
(1, 1, 0.9996039850734955)
(1, 1, 0.9949415255570728)
(1, 1, 0.9834609352418924)
(1, 1, 0.9988086838268465)
(1, 1, 0.9999998929874593)
(1, 1, 0.9975762853185289)
(1, 1, 0.9944041466269141)
(1, 1, 0.9974952652044391)
(1, 1, 0.9999999839254259)
(1, 1, 0.9950713122662327)
(1, 1, 0.9922858110813498)
(1, 1, 0.9999245989260993)
(1, 1, 0.9990948329394054)
(1, 1, 0.9988637473110532)
(1, 1, 0.9999753805485113)
(1, 1, 0.9999999989419703)
(1, 1, 0.9944427081559362)
(1, 1, 0.9999983587126238)
(1, 1, 0.9990325082469884)
(1, 1, 0.9999771085148491)
(1, 1, 0.9999958877396548)
(1, 1, 0.9946089378773879)
(1, 1, 0.99618122655461)
(1, 1, 0.9999974030630429)
(1, 1, 0.9999896337249615)
(1, 1, 0.9982768921173409)
(1, 1, 0.9951960455844727)
(1, 1, 0.9947042018055579)
(1, 1, 0.9933841702302706)
(1, 1, 0.9991691403447664)
(1, 1, 0.9999999996309195)
(1, 1, 0.9965782956996346)
(1, 1, 0.9997456225911223)
(1, 1, 0.9917023707149335)
(1, 1, 0.9991257666223716)
(1, 1, 0.9999988266545771)
(1, 1, 0.9999999122231485)
(1, 1, 0.9941824185980346)
(1, 1, 0.9891801378134347)
(1, 1, 0.9975083008104609)
(1, 1, 0.9982582911227752)
(1, 1, 0.9999628822281883)
(1, 1, 0.9997867629299393)
(1, 1, 0.9999494550404613)
(1, 1, 0.9999995272651824)
(1, 1, 0.9999754950680241)
(1, 1, 0.9988172374178499)
(1, 1, 0.9998419639126843)
(1, 1, 0.9999994886619653)
(1, 1, 0.9999999570568915)
(1, 1, 0.9999999351573625)
(1, 1, 0.9999989052627211)
(1, 1, 0.9999999829412404)
(1, 1, 0.997780522712653)
(1, 1, 0.9729621649692028)
(1, 1, 0.9999827472051173)
(1, 1, 0.9966712757847928)
(1, 1, 0.9950459179559138)
(1, 1, 0.9999979311043716)
(1, 1, 0.9999996132423422)
(1, 1, 0.9958096295971648)
(1, 1, 0.9943195922951034)
(1, 1, 0.9993268167944704)
(1, 1, 0.999999998899558)
(1, 1, 0.9999992723662311)
(1, 1, 0.9999212135214706)
(1, 1, 0.9937115267234832)
(1, 1, 0.9999999990430817)
(1, 1, 0.9999933678503217)
(1, 1, 0.9999999994641158)
(1, 1, 0.9999907914560754)
(1, 1, 0.9999776390218046)
(1, 1, 0.9942060483217292)
(1, 1, 0.9993096285986693)
(1, 1, 0.9971034433389167)
(1, 1, 0.9923297741320461)
(1, 1, 0.9899389213349606)
(1, 1, 0.9998445407589683)
(1, 1, 0.9976942867136825)
(1, 1, 0.9999998649673079)
(1, 1, 0.9959988470252717)
(1, 1, 0.999994285931133)
(1, 1, 0.9892356314841693)
(1, 1, 0.9964330767308027)
(1, 1, 0.9963792095925381)
(1, 1, 0.9999999019693452)
(1, 1, 0.9999954423918728)
(1, 1, 0.9990033092312494)
(1, 1, 0.9995311451481746)
(1, 1, 0.9999999685998785)
(1, 1, 0.9965341474186858)
(1, 1, 0.9887367601411979)
(1, 1, 0.9999997452641816)
(1, 1, 0.9998562508424627)
(1, 1, 0.9999999812488408)
(1, 1, 0.999479166796377)
(1, 1, 0.989752821387)
(1, 1, 0.9992494070472201)
(1, 1, 0.9999999997810265)
(1, 1, 0.9965580329445981)
(1, 1, 0.9938766852042539)
(1, 1, 0.9999995384695063)
(1, 1, 0.9996336938520066)
(1, 1, 0.9997349681536333)
(1, 1, 0.9824922342125659)
(1, 1, 0.9984286247514035)
(1, 1, 0.9999825712826036)
(1, 1, 0.9904564998372914)
(1, 1, 0.9999998864797517)
(1, 1, 0.9999349249814236)
(1, 1, 0.9971988962193151)
(1, 1, 0.9993490092238608)
(1, 1, 0.9909827364882521)
(1, 1, 0.9908495159133288)
(1, 1, 0.9818726136385709)
(1, 1, 0.9998857927189926)
(1, 1, 0.9985128018787679)
(1, 1, 0.998742675142975)
(1, 1, 0.9999999829984533)
(1, 1, 0.9996589337744501)
(1, 1, 0.9999999997637248)
(1, 1, 0.9999812902176516)
(1, 1, 0.9916581774117558)
(1, 1, 0.9832019881512757)
(1, 1, 0.9999885494893085)
(1, 1, 0.9999945563589556)
(1, 1, 0.9990972763529973)
(1, 1, 0.9999991990030895)
(1, 1, 0.9999942699342029)
(1, 1, 0.9999997858346631)
(1, 1, 0.9971829010204992)
(1, 1, 0.9996202384675483)
(1, 1, 0.9916592654888827)
(1, 1, 0.9970202409662867)
(1, 1, 0.9999940872654941)
(1, 1, 0.999912898494207)
(1, 1, 0.989149809011779)
(1, 1, 0.999996535997094)
(1, 1, 0.9942605164417129)
(1, 1, 0.9918293237162239)
(1, 1, 0.99999908543039)
(1, 1, 0.9999992695907917)
(1, 1, 0.9998348167658839)
(1, 1, 0.9996331168621402)
(1, 1, 0.9990947321395649)
(1, 1, 0.9937727010556887)
(1, 1, 0.9994070123778833)
(1, 1, 0.9979979981496557)
(1, 1, 0.999999981818333)
(1, 1, 0.9923227346400135)
(1, 1, 0.9999999364254062)
(1, 1, 0.9999845140472455)
(1, 1, 0.9999995879829354)
(1, 1, 0.9999378423309041)
